Year,Month,Day,Ice Fraction
2022,1,1,0.678494623655914
2022,1,2,0.6956989247311828
2022,1,3,0.710752688172043
2022,1,4,0.7720430107526882
2022,1,5,0.7763440860215054
2022,1,6,0.7989247311827957
2022,1,7,0.8182795698924731
2022,1,8,0.8591397849462366
2022,1,9,0.8311827956989247
2022,1,10,0.7774193548387097
2022,1,11,0.7311827956989247
2022,1,12,0.7494623655913979
2022,1,13,0.6946236559139785
2022,1,14,0.6817204301075269
2022,1,15,0.6397849462365591
2022,1,16,0.5913978494623656
2022,1,17,0.5967741935483871
2022,1,18,0.6129032258064516
2022,1,19,0.5021505376344086
2022,1,20,0.5086021505376344
2022,1,21,0.4860215053763441
2022,1,22,0.4376344086021505
2022,1,23,0.4129032258064516
2022,1,24,0.38924731182795697
2022,1,25,0.3881720430107527
2022,1,26,0.36129032258064514
2022,1,27,0.3634408602150538
2022,1,28,0.33978494623655914
2022,1,29,0.3096774193548387
2022,1,30,0.28817204301075267
2022,1,31,0.3301075268817204
2022,2,2,0.2903225806451613
2022,2,3,0.2698924731182796
2022,2,4,0.2763440860215054
2022,2,5,0.2860215053763441
2022,2,6,0.2817204301075269
2022,2,7,0.2870967741935484
2022,2,8,0.2838709677419355
2022,2,9,0.36236559139784946
2022,2,10,0.2860215053763441
2022,2,11,0.278494623655914
2022,2,12,0.267741935483871
2022,2,13,0.26021505376344084
2022,2,14,0.2623655913978495
2022,2,15,0.2806451612903226
2022,2,16,0.35913978494623655
2022,2,17,0.27419354838709675
2022,2,18,0.2752688172043011
2022,2,19,0.2903225806451613
2022,2,20,0.23118279569892472
2022,2,21,0.32150537634408605
2022,2,22,0.22903225806451613
2022,2,23,0.23440860215053763
2022,2,24,0.23440860215053763
2022,2,25,0.23655913978494625
2022,2,26,0.26129032258064516
2022,2,27,0.2537634408602151
2022,2,28,0.25483870967741934
2022,3,1,0.3924731182795699
2022,3,2,0.2623655913978495
2022,3,3,0.25591397849462366
2022,3,4,0.25806451612903225
2022,3,5,0.23763440860215054
2022,3,6,0.25161290322580643
2022,3,7,0.32150537634408605
2022,3,8,0.289247311827957
2022,3,9,0.2838709677419355
2022,3,10,0.2924731182795699
2022,3,11,0.5021505376344086
2022,3,12,0.27741935483870966
2022,3,13,0.24193548387096775
2022,3,14,0.25161290322580643
2022,3,15,0.23655913978494625
2022,3,16,0.25053763440860216
2022,3,17,0.22258064516129034
2022,3,18,0.29354838709677417
2022,3,19,0.3096774193548387
2022,3,20,0.267741935483871
2022,3,21,0.267741935483871
2022,3,22,0.5634408602150538
2022,3,23,0.8344086021505376
2022,3,24,0.8720430107526882
2022,3,25,0.8731182795698925
2022,3,26,0.8731182795698925
2022,3,27,0.8731182795698925
2022,3,28,0.8709677419354839
2022,3,29,0.8731182795698925
2022,3,30,0.864516129032258
2022,3,31,0.6290322580645161
